Patient,Position,Method,Accuracy
S23,p3,Kumar,0.271523178807947
S23,p3,Kumar,0.2185430463576159
S23,p3,Kumar,0.26490066225165565
S23,p3,Kumar,0.23841059602649006
S23,p3,Kumar,0.24503311258278146
S23,p3,MFA,0.17532467532467533
S23,p3,MFA,0.2012987012987013
S23,p3,MFA,0.18831168831168832
S23,p3,MFA,0.19480519480519481
S23,p3,MFA,0.17532467532467533
S23,p3,MFA,0.19480519480519481
S23,p3,MFA,0.18181818181818182
S23,p3,MFA,0.19480519480519481
S23,p3,MFA,0.19480519480519481
S23,p3,MFA,0.18181818181818182
S26,p1,Kumar,0.6013513513513513
S26,p1,Kumar,0.6081081081081081
S26,p1,Kumar,0.6148648648648649
S26,p1,Kumar,0.6013513513513513
S26,p1,Kumar,0.5675675675675675
S26,p1,Kumar,0.5743243243243243
S26,p1,Kumar,0.6081081081081081
S26,p1,Kumar,0.6148648648648649
S26,p1,Kumar,0.5743243243243243
S26,p1,Kumar,0.6148648648648649
S26,p1,MFA,0.6040268456375839
S26,p1,MFA,0.610738255033557
S26,p1,MFA,0.5973154362416108
S26,p1,MFA,0.610738255033557
S26,p1,MFA,0.6040268456375839
S26,p1,MFA,0.610738255033557
S26,p1,MFA,0.5973154362416108
S26,p1,MFA,0.5973154362416108
S26,p1,MFA,0.5973154362416108
S26,p1,MFA,0.5906040268456376
S26,p2,Kumar,0.581081081081081
S26,p2,Kumar,0.5675675675675675
S26,p2,Kumar,0.5472972972972973
S26,p2,Kumar,0.5540540540540541
S26,p2,Kumar,0.5743243243243243
S26,p2,Kumar,0.5675675675675675
S26,p2,Kumar,0.5608108108108109
S26,p2,Kumar,0.5472972972972973
S26,p2,Kumar,0.581081081081081
S26,p2,Kumar,0.527027027027027
S26,p2,MFA,0.5436241610738255
S26,p2,MFA,0.5302013422818792
S26,p2,MFA,0.5369127516778524
S26,p2,MFA,0.5570469798657718
S26,p2,MFA,0.5704697986577181
S26,p2,MFA,0.5771812080536913
S26,p2,MFA,0.5234899328859061
S26,p2,MFA,0.5906040268456376
S26,p2,MFA,0.5570469798657718
S26,p2,MFA,0.5369127516778524
S26,p3,Kumar,0.5202702702702703
S26,p3,Kumar,0.5135135135135135
S26,p3,Kumar,0.5405405405405406
