Patient,Position,Method,Decoding TW,Accuracy
S14,p3,Kumar,0.015S,0.2777777777777778
S14,p3,Kumar,0.015S,0.2777777777777778
S14,p3,Kumar,0.015S,0.2847222222222222
S14,p3,Kumar,0.015S,0.2777777777777778
S14,p3,Kumar,0.015S,0.2986111111111111
S14,p3,Kumar,0.015S,0.2569444444444444
S14,p3,Kumar,0.015S,0.2638888888888889
S14,p3,Kumar,0.015S,0.2847222222222222
S14,p3,Kumar,0.015S,0.2847222222222222
S14,p3,Kumar,0.01S,0.2777777777777778
S14,p3,Kumar,0.01S,0.2847222222222222
S14,p3,Kumar,0.01S,0.2986111111111111
S14,p3,Kumar,0.01S,0.3055555555555556
S14,p3,Kumar,0.01S,0.2986111111111111
S14,p3,Kumar,0.01S,0.2986111111111111
S14,p3,Kumar,0.01S,0.2986111111111111
S14,p3,Kumar,0.01S,0.2916666666666667
S14,p3,Kumar,0.01S,0.2916666666666667
S14,p3,Kumar,0.01S,0.2847222222222222
S14,p3,MFA,0.025S,0.18243243243243243
S14,p3,MFA,0.025S,0.17567567567567569
S14,p3,MFA,0.025S,0.18243243243243243
S14,p3,MFA,0.025S,0.20945945945945946
S14,p3,MFA,0.025S,0.18243243243243243
S14,p3,MFA,0.025S,0.1891891891891892
S14,p3,MFA,0.025S,0.20270270270270271
S14,p3,MFA,0.025S,0.17567567567567569
S14,p3,MFA,0.025S,0.1554054054054054
S14,p3,MFA,0.025S,0.19594594594594594
S14,p3,MFA,0.015S,0.18243243243243243
S14,p3,MFA,0.015S,0.20270270270270271
S14,p3,MFA,0.015S,0.1891891891891892
S14,p3,MFA,0.015S,0.18243243243243243
S14,p3,MFA,0.015S,0.20270270270270271
S14,p3,MFA,0.015S,0.19594594594594594
S14,p3,MFA,0.015S,0.18243243243243243
S14,p3,MFA,0.015S,0.20270270270270271
S14,p3,MFA,0.015S,0.20270270270270271
S14,p3,MFA,0.015S,0.21621621621621623
S14,p3,MFA,0.01S,0.19594594594594594
S14,p3,MFA,0.01S,0.17567567567567569
S14,p3,MFA,0.01S,0.1891891891891892
S14,p3,MFA,0.01S,0.1891891891891892
S14,p3,MFA,0.01S,0.1891891891891892
S14,p3,MFA,0.01S,0.20945945945945946
S14,p3,MFA,0.01S,0.20945945945945946
S14,p3,MFA,0.01S,0.19594594594594594
S14,p3,MFA,0.01S,0.21621621621621623
S14,p3,MFA,0.01S,0.21621621621621623
S22,p1,Kumar,0.025S,0.1456953642384106
S22,p1,Kumar,0.025S,0.1390728476821192
S22,p1,Kumar,0.025S,0.1390728476821192
S22,p1,Kumar,0.025S,0.16556291390728478
S22,p1,Kumar,0.025S,0.13245033112582782
S22,p1,Kumar,0.025S,0.1456953642384106
S22,p1,Kumar,0.025S,0.17880794701986755
S22,p1,Kumar,0.025S,0.17880794701986755
S22,p1,Kumar,0.025S,0.152317880794702
S22,p1,Kumar,0.025S,0.1456953642384106
S22,p1,Kumar,0.015S,0.17880794701986755
S22,p1,Kumar,0.015S,0.16556291390728478
S22,p1,Kumar,0.015S,0.12582781456953643
S22,p1,Kumar,0.015S,0.1456953642384106
S22,p1,Kumar,0.015S,0.15894039735099338
S22,p1,Kumar,0.015S,0.1456953642384106
S22,p1,Kumar,0.015S,0.16556291390728478
S22,p1,Kumar,0.015S,0.152317880794702
S22,p1,Kumar,0.015S,0.17880794701986755
S22,p1,Kumar,0.015S,0.152317880794702
S22,p1,Kumar,0.01S,0.15894039735099338
S22,p1,Kumar,0.01S,0.15894039735099338
S22,p1,Kumar,0.01S,0.1390728476821192
S22,p1,Kumar,0.01S,0.1390728476821192
S22,p1,Kumar,0.01S,0.16556291390728478
S22,p1,Kumar,0.01S,0.13245033112582782
S22,p1,Kumar,0.01S,0.16556291390728478
S22,p1,Kumar,0.01S,0.1456953642384106
S22,p1,Kumar,0.01S,0.12582781456953643
S22,p1,Kumar,0.01S,0.1456953642384106
S22,p1,MFA,0.025S,0.20394736842105263
S22,p1,MFA,0.025S,0.17763157894736842
S22,p1,MFA,0.025S,0.21710526315789475
S22,p1,MFA,0.025S,0.20394736842105263
S22,p1,MFA,0.025S,0.21710526315789475
S22,p1,MFA,0.025S,0.21052631578947367
S22,p1,MFA,0.025S,0.21710526315789475
S22,p1,MFA,0.025S,0.21710526315789475
S22,p1,MFA,0.025S,0.19078947368421054
S22,p1,MFA,0.025S,0.21052631578947367
S22,p1,MFA,0.015S,0.20394736842105263
S22,p1,MFA,0.015S,0.20394736842105263
S22,p1,MFA,0.015S,0.21710526315789475
S22,p1,MFA,0.015S,0.2236842105263158
S22,p1,MFA,0.015S,0.17763157894736842
S22,p1,MFA,0.015S,0.18421052631578946
S22,p1,MFA,0.015S,0.17763157894736842
S22,p1,MFA,0.015S,0.17105263157894737
S22,p1,MFA,0.015S,0.21710526315789475
S22,p1,MFA,0.015S,0.19736842105263158
S22,p1,MFA,0.01S,0.18421052631578946
S22,p1,MFA,0.01S,0.19078947368421054
S22,p1,MFA,0.01S,0.20394736842105263
S22,p1,MFA,0.01S,0.23684210526315788
S22,p1,MFA,0.01S,0.19736842105263158
S22,p1,MFA,0.01S,0.19078947368421054
S22,p1,MFA,0.01S,0.20394736842105263
S22,p1,MFA,0.01S,0.21710526315789475
S22,p1,MFA,0.01S,0.20394736842105263
S22,p1,MFA,0.01S,0.21052631578947367
S22,p2,Kumar,0.025S,0.1986754966887417
S22,p2,Kumar,0.025S,0.24503311258278146
S22,p2,Kumar,0.025S,0.2052980132450331
S22,p2,Kumar,0.025S,0.24503311258278146
S22,p2,Kumar,0.025S,0.2119205298013245
S22,p2,Kumar,0.025S,0.2185430463576159
S22,p2,Kumar,0.025S,0.23178807947019867
S22,p2,Kumar,0.025S,0.2185430463576159
S22,p2,Kumar,0.025S,0.23178807947019867
S22,p2,Kumar,0.025S,0.2119205298013245
S22,p2,Kumar,0.015S,0.23841059602649006
S22,p2,Kumar,0.015S,0.2185430463576159
S22,p2,Kumar,0.015S,0.2119205298013245
S22,p2,Kumar,0.015S,0.2251655629139073
S22,p2,Kumar,0.015S,0.23841059602649006
S22,p2,Kumar,0.015S,0.25165562913907286
S22,p2,Kumar,0.015S,0.2251655629139073
S22,p2,Kumar,0.015S,0.2052980132450331
S22,p2,Kumar,0.015S,0.23841059602649006
S22,p2,Kumar,0.015S,0.23841059602649006
S22,p2,Kumar,0.01S,0.2052980132450331
S22,p2,Kumar,0.01S,0.23178807947019867
S22,p2,Kumar,0.01S,0.19205298013245034
S22,p2,Kumar,0.01S,0.2052980132450331
S22,p2,Kumar,0.01S,0.2185430463576159
S22,p2,Kumar,0.01S,0.24503311258278146
S22,p2,Kumar,0.01S,0.17218543046357615
S22,p2,Kumar,0.01S,0.2052980132450331
S22,p2,Kumar,0.01S,0.24503311258278146
S22,p2,Kumar,0.01S,0.2052980132450331
S22,p2,MFA,0.025S,0.18421052631578946
S22,p2,MFA,0.025S,0.20394736842105263
S22,p2,MFA,0.025S,0.19078947368421054
S22,p2,MFA,0.025S,0.25
S22,p2,MFA,0.025S,0.18421052631578946
S22,p2,MFA,0.025S,0.2236842105263158
S22,p2,MFA,0.025S,0.18421052631578946
S22,p2,MFA,0.025S,0.17763157894736842
S22,p2,MFA,0.025S,0.21710526315789475
S22,p2,MFA,0.025S,0.2236842105263158
S22,p2,MFA,0.015S,0.1513157894736842
S22,p2,MFA,0.015S,0.19078947368421054
S22,p2,MFA,0.015S,0.19078947368421054
S22,p2,MFA,0.015S,0.18421052631578946
S22,p2,MFA,0.015S,0.19736842105263158
S22,p2,MFA,0.015S,0.19078947368421054
S22,p2,MFA,0.015S,0.19736842105263158
S22,p2,MFA,0.015S,0.19078947368421054
S22,p2,MFA,0.015S,0.17763157894736842
S22,p2,MFA,0.015S,0.19078947368421054
S22,p2,MFA,0.01S,0.20394736842105263
S22,p2,MFA,0.01S,0.20394736842105263
S22,p2,MFA,0.01S,0.18421052631578946
