Patient,Position,Method,Decoding TW,Accuracy
S14,p2,Kumar,0.4S,0.4652777777777778
S14,p2,Kumar,0.4S,0.4583333333333333
S14,p2,Kumar,0.4S,0.4444444444444444
S14,p2,Kumar,0.4S,0.4444444444444444
S14,p2,Kumar,0.4S,0.4652777777777778
S14,p2,Kumar,0.4S,0.4652777777777778
S14,p2,Kumar,0.4S,0.4583333333333333
S14,p2,Kumar,0.2S,0.3888888888888889
S14,p2,Kumar,0.2S,0.375
S14,p2,Kumar,0.2S,0.4166666666666667
S14,p2,Kumar,0.2S,0.4305555555555556
S14,p2,Kumar,0.2S,0.4097222222222222
S14,p2,Kumar,0.2S,0.4305555555555556
S14,p2,Kumar,0.2S,0.3888888888888889
S14,p2,Kumar,0.2S,0.3958333333333333
S14,p2,Kumar,0.2S,0.4027777777777778
S14,p2,Kumar,0.2S,0.4027777777777778
S14,p2,MFA,1S,0.39864864864864863
S14,p2,MFA,1S,0.36486486486486486
S14,p2,MFA,1S,0.3783783783783784
S14,p2,MFA,1S,0.3918918918918919
S14,p2,MFA,1S,0.3716216216216216
S14,p2,MFA,1S,0.3716216216216216
S14,p2,MFA,1S,0.3581081081081081
S14,p2,MFA,1S,0.39864864864864863
S14,p2,MFA,1S,0.39864864864864863
S14,p2,MFA,1S,0.38513513513513514
S14,p2,MFA,0.8S,0.3918918918918919
S14,p2,MFA,0.8S,0.36486486486486486
S14,p2,MFA,0.8S,0.3783783783783784
S14,p2,MFA,0.8S,0.3716216216216216
S14,p2,MFA,0.8S,0.3716216216216216
S14,p2,MFA,0.8S,0.36486486486486486
S14,p2,MFA,0.8S,0.3783783783783784
S14,p2,MFA,0.8S,0.36486486486486486
S14,p2,MFA,0.8S,0.38513513513513514
S14,p2,MFA,0.8S,0.3783783783783784
S14,p2,MFA,0.6S,0.38513513513513514
S14,p2,MFA,0.6S,0.34459459459459457
S14,p2,MFA,0.6S,0.3918918918918919
S14,p2,MFA,0.6S,0.33783783783783783
S14,p2,MFA,0.6S,0.36486486486486486
S14,p2,MFA,0.6S,0.3581081081081081
S14,p2,MFA,0.6S,0.35135135135135137
S14,p2,MFA,0.6S,0.3918918918918919
S14,p2,MFA,0.6S,0.40540540540540543
S14,p2,MFA,0.6S,0.3581081081081081
S14,p2,MFA,0.4S,0.2635135135135135
S14,p2,MFA,0.4S,0.27702702702702703
S14,p2,MFA,0.4S,0.28378378378378377
S14,p2,MFA,0.4S,0.2905405405405405
S14,p2,MFA,0.4S,0.28378378378378377
S14,p2,MFA,0.4S,0.2635135135135135
S14,p2,MFA,0.4S,0.2905405405405405
S14,p2,MFA,0.4S,0.2702702702702703
S14,p2,MFA,0.4S,0.2702702702702703
S14,p2,MFA,0.4S,0.2905405405405405
S14,p2,MFA,0.2S,0.2905405405405405
S14,p2,MFA,0.2S,0.2905405405405405
S14,p2,MFA,0.2S,0.28378378378378377
S14,p2,MFA,0.2S,0.27702702702702703
S14,p2,MFA,0.2S,0.27702702702702703
S14,p2,MFA,0.2S,0.3108108108108108
S14,p2,MFA,0.2S,0.28378378378378377
S14,p2,MFA,0.2S,0.25675675675675674
S14,p2,MFA,0.2S,0.2905405405405405
S14,p2,MFA,0.2S,0.2905405405405405
S14,p3,Kumar,1S,0.4444444444444444
S14,p3,Kumar,1S,0.4722222222222222
S14,p3,Kumar,1S,0.4652777777777778
S14,p3,Kumar,1S,0.4652777777777778
S14,p3,Kumar,1S,0.4375
S14,p3,Kumar,1S,0.4375
S14,p3,Kumar,1S,0.4305555555555556
