Patient,Method,Score_Type,Iteration,Value
S22,Kumar,Silhoutte_Score_PhonType,21,0.099388756
S22,Kumar,Silhoutte_Score_PhonType,22,0.08704724
S22,Kumar,Silhoutte_Score_PhonType,23,0.08162852
S22,Kumar,Silhoutte_Score_PhonType,24,0.11104006
S22,Kumar,Silhoutte_Score_PhonType,25,0.079455934
S22,Kumar,Silhoutte_Score_PhonType,26,0.057571735
S22,Kumar,Silhoutte_Score_PhonType,27,0.057230707
S22,Kumar,Silhoutte_Score_PhonType,28,0.10776571
S22,Kumar,Silhoutte_Score_PhonType,29,0.11392935
S22,Kumar,Silhoutte_Score_PhonType,30,0.05972693
S22,Kumar,Silhoutte_Score_PhonType,31,0.10155357
S22,Kumar,Silhoutte_Score_PhonType,32,0.054944362
