Patient,Method,Score_Type,Iteration,Value
S33,MFA,Silhouette_Score_PhonChance,23,0.25616798
S33,MFA,Silhouette_Score_PhonChance,24,0.10842288
S33,MFA,Silhouette_Score_PhonChance,25,0.23730846
S33,MFA,Silhouette_Score_PhonChance,26,0.123271905
S33,MFA,Silhouette_Score_PhonChance,27,0.07802335
S33,MFA,Silhouette_Score_PhonChance,28,0.06997161
S33,MFA,Silhouette_Score_PhonChance,29,0.12225018
S33,MFA,Silhouette_Score_PhonChance,30,0.06548899
S33,MFA,Silhouette_Score_PhonChance,31,0.12747286
S33,MFA,Silhouette_Score_PhonChance,32,0.15038605
S33,MFA,Silhouette_Score_PhonChance,33,0.21869409
S33,MFA,Silhouette_Score_PhonChance,34,0.5911024
S33,MFA,Silhouette_Score_PhonChance,35,0.054255284
S33,MFA,Silhouette_Score_PhonChance,36,0.091572665
S33,MFA,Silhouette_Score_PhonChance,37,0.28326884
S33,MFA,Silhouette_Score_PhonChance,38,0.21532635
S33,MFA,Silhouette_Score_PhonChance,39,0.41753653
S33,MFA,Silhouette_Score_PhonChance,40,0.1937768
S33,MFA,Silhouette_Score_PhonChance,41,0.11575049
S33,MFA,Silhouette_Score_PhonChance,42,0.4026833
S33,MFA,Silhouette_Score_PhonChance,43,0.08838707
S33,MFA,Silhouette_Score_PhonChance,44,0.1967049
S33,MFA,Silhouette_Score_PhonChance,45,0.2754499
S33,MFA,Silhouette_Score_PhonChance,46,0.16070433
S33,MFA,Silhouette_Score_PhonChance,47,0.18559396
S33,MFA,Silhouette_Score_PhonChance,48,0.03148481
S33,MFA,Silhouette_Score_PhonChance,49,0.302189
S33,MFA,Silhouette_Score_PhonChance,50,0.16470441
S33,MFA,Silhoutte_Score_Phon,1,0.18197729
S33,MFA,Silhoutte_Score_Phon,2,0.18533726
S33,MFA,Silhoutte_Score_Phon,3,0.26640084
S33,MFA,Silhoutte_Score_Phon,4,0.19204058
S33,MFA,Silhoutte_Score_Phon,5,0.22673255
S33,MFA,Silhoutte_Score_Phon,6,0.22353727
S33,MFA,Silhoutte_Score_Phon,7,0.1796355
S33,MFA,Silhoutte_Score_Phon,8,0.20281668
S33,MFA,Silhoutte_Score_Phon,9,0.22632156
S33,MFA,Silhoutte_Score_Phon,10,0.1974327
S33,MFA,Silhoutte_Score_Phon,11,0.16841094
S33,MFA,Silhoutte_Score_Phon,12,0.22826807
S33,MFA,Silhoutte_Score_Phon,13,0.22327882
S33,MFA,Silhoutte_Score_Phon,14,0.16515346
S33,MFA,Silhoutte_Score_Phon,15,0.16943613
S33,MFA,Silhoutte_Score_Phon,16,0.21723376
S33,MFA,Silhoutte_Score_Phon,17,0.19247615
S33,MFA,Silhoutte_Score_Phon,18,0.1850719
S33,MFA,Silhoutte_Score_Phon,19,0.17304517
S33,MFA,Silhoutte_Score_Phon,20,0.23463427
S33,MFA,Silhoutte_Score_Phon,21,0.25989705
S33,MFA,Silhoutte_Score_Phon,22,0.16752668
S33,MFA,Silhoutte_Score_Phon,23,0.16383356
S33,MFA,Silhoutte_Score_Phon,24,0.21050811
S33,MFA,Silhoutte_Score_Phon,25,0.17952864
S33,MFA,Silhoutte_Score_Phon,26,0.21645804
S33,MFA,Silhoutte_Score_Phon,27,0.17906478
S33,MFA,Silhoutte_Score_Phon,28,0.20392177
S33,MFA,Silhoutte_Score_Phon,29,0.21538363
S33,MFA,Silhoutte_Score_Phon,30,0.1707498
S33,MFA,Silhoutte_Score_Phon,31,0.1683054
S33,MFA,Silhoutte_Score_Phon,32,0.16649893
S33,MFA,Silhoutte_Score_Phon,33,0.20138165
S33,MFA,Silhoutte_Score_Phon,34,0.21587774
S33,MFA,Silhoutte_Score_Phon,35,0.25100037
S33,MFA,Silhoutte_Score_Phon,36,0.22688311
S33,MFA,Silhoutte_Score_Phon,37,0.24625057
S33,MFA,Silhoutte_Score_Phon,38,0.26306492
S33,MFA,Silhoutte_Score_Phon,39,0.20603256
S33,MFA,Silhoutte_Score_Phon,40,0.22426547
S33,MFA,Silhoutte_Score_Phon,41,0.16850387
S33,MFA,Silhoutte_Score_Phon,42,0.29159647
S33,MFA,Silhoutte_Score_Phon,43,0.22733387
S33,MFA,Silhoutte_Score_Phon,44,0.21680565
S33,MFA,Silhoutte_Score_Phon,45,0.16966279
S33,MFA,Silhoutte_Score_Phon,46,0.22929338
S33,MFA,Silhoutte_Score_Phon,47,0.28190535
S33,MFA,Silhoutte_Score_Phon,48,0.21155766
S33,MFA,Silhoutte_Score_Phon,49,0.16785514
S33,MFA,Silhoutte_Score_Phon,50,0.21577975
S33,MFA,Silhoutte_Score_PhonGrp,1,0.31364104
S33,MFA,Silhoutte_Score_PhonGrp,2,0.37461227
S33,MFA,Silhoutte_Score_PhonGrp,3,0.30730695
S33,MFA,Silhoutte_Score_PhonGrp,4,0.33988026
S33,MFA,Silhoutte_Score_PhonGrp,5,0.25965118
S33,MFA,Silhoutte_Score_PhonGrp,6,0.25495556
S33,MFA,Silhoutte_Score_PhonGrp,7,0.37385058
S33,MFA,Silhoutte_Score_PhonGrp,8,0.23205926
S33,MFA,Silhoutte_Score_PhonGrp,9,0.37219283
S33,MFA,Silhoutte_Score_PhonGrp,10,0.23758246
S33,MFA,Silhoutte_Score_PhonGrp,11,0.36713812
S33,MFA,Silhoutte_Score_PhonGrp,12,0.23350942
S33,MFA,Silhoutte_Score_PhonGrp,13,0.33242813
S33,MFA,Silhoutte_Score_PhonGrp,14,0.21040803
S33,MFA,Silhoutte_Score_PhonGrp,15,0.36944568
S33,MFA,Silhoutte_Score_PhonGrp,16,0.37162268
S33,MFA,Silhoutte_Score_PhonGrp,17,0.33850518
S33,MFA,Silhoutte_Score_PhonGrp,18,0.2808411
S33,MFA,Silhoutte_Score_PhonGrp,19,0.30946025
S33,MFA,Silhoutte_Score_PhonGrp,20,0.2721327
S33,MFA,Silhoutte_Score_PhonGrp,21,0.2696485
S33,MFA,Silhoutte_Score_PhonGrp,22,0.36740288
S33,MFA,Silhoutte_Score_PhonGrp,23,0.2539352
S33,MFA,Silhoutte_Score_PhonGrp,24,0.34748444
S33,MFA,Silhoutte_Score_PhonGrp,25,0.25500906
S33,MFA,Silhoutte_Score_PhonGrp,26,0.3730769
S33,MFA,Silhoutte_Score_PhonGrp,27,0.32512292
S33,MFA,Silhoutte_Score_PhonGrp,28,0.25295877
S33,MFA,Silhoutte_Score_PhonGrp,29,0.25085855
S33,MFA,Silhoutte_Score_PhonGrp,30,0.36667973
S33,MFA,Silhoutte_Score_PhonGrp,31,0.36652076
S33,MFA,Silhoutte_Score_PhonGrp,32,0.2670846
S33,MFA,Silhoutte_Score_PhonGrp,33,0.34505254
S33,MFA,Silhoutte_Score_PhonGrp,34,0.29361486
S33,MFA,Silhoutte_Score_PhonGrp,35,0.13864596
S33,MFA,Silhoutte_Score_PhonGrp,36,0.277626
S33,MFA,Silhoutte_Score_PhonGrp,37,0.31942236
S33,MFA,Silhoutte_Score_PhonGrp,38,0.3072925
S33,MFA,Silhoutte_Score_PhonGrp,39,0.23298116
S33,MFA,Silhoutte_Score_PhonGrp,40,0.2569813
